"No.","Time","Source","Destination","Protocol","Length","Info"
"31227","79.149940","132.72.140.46","132.72.81.121","DNS","192","Standard query response 0xaea4 A structuretech1.com A 104.26.5.136 A 104.26.4.136 NS bob.ns.cloudflare.com NS pat.ns.cloudflare.com A 173.245.59.104 A 173.245.58.139"
"31244","79.175528","132.72.81.121","132.72.140.46","DNS","81","Standard query 0x2259 A www.dxengineering.com"
"31267","79.268798","132.72.81.121","132.72.140.45","DNS","81","Standard query 0x2259 A www.dxengineering.com"
"31309","79.494443","132.72.140.46","132.72.81.121","DNS","169","Standard query response 0x2259 A www.dxengineering.com CNAME cs140.can.transactcdn.com A 192.30.31.140 NS ns1.transactcdn.com NS ns2.transactcdn.com"
"31330","79.607672","132.72.140.45","132.72.81.121","DNS","201","Standard query response 0x2259 A www.dxengineering.com CNAME cs140.can.transactcdn.com A 192.30.31.140 NS ns1.transactcdn.com NS ns2.transactcdn.com A 192.16.0.5 A 192.16.0.6"
"31388","79.911738","132.72.81.121","132.72.140.46","DNS","78","Standard query 0xaee2 A shuffleuppoker.com"
"31390","79.912336","132.72.140.46","132.72.81.121","DNS","180","Standard query response 0xaee2 A shuffleuppoker.com A 41.204.202.44 NS ns2.host-h.net NS ns1.host-h.net NS ns1.dns-h.com A 129.232.248.30"
"31403","79.978369","132.72.81.121","132.72.140.46","DNS","72","Standard query 0xab8f A antopusa.com"
"31527","80.080093","132.72.81.121","132.72.140.45","DNS","72","Standard query 0xab8f A antopusa.com"
"32911","80.269733","132.72.140.46","132.72.81.121","DNS","124","Standard query response 0xab8f A antopusa.com A 142.4.23.84 NS ns2.antopusa.com NS ns1.antopusa.com"
"32924","80.374403","132.72.140.45","132.72.81.121","DNS","145","Standard query response 0xab8f A antopusa.com A 142.4.23.84 NS ns1.xpg.iju.mybluehost.me NS ns2.xpg.iju.mybluehost.me"
"32933","80.430231","132.72.81.121","132.72.140.46","DNS","84","Standard query 0x0f42 A www.whatsonnortheast.com"
"32939","80.536173","132.72.81.121","132.72.140.45","DNS","84","Standard query 0x0f42 A www.whatsonnortheast.com"
"32947","80.655247","132.72.140.46","132.72.81.121","DNS","197","Standard query response 0x0f42 A www.whatsonnortheast.com CNAME whatsonnortheast.com A 176.58.115.202 NS pns31.cloudns.net NS pns32.cloudns.net A 185.136.96.66 A 185.136.97.66"
"32972","80.759726","132.72.140.45","132.72.81.121","DNS","253","Standard query response 0x0f42 A www.whatsonnortheast.com CNAME whatsonnortheast.com A 176.58.115.202 NS pns32.cloudns.net NS pns31.cloudns.net A 185.136.96.66 AAAA 2a06:fb00:1::1:66 A 185.136.97.66 AAAA 2a06:fb00:1::2:66"
"33491","83.013950","132.72.81.121","132.72.140.46","DNS","76","Standard query 0x2bb5 A congress.ons.org"
"33496","83.107028","132.72.81.121","132.72.140.45","DNS","76","Standard query 0x2bb5 A congress.ons.org"
"33505","83.163403","132.72.140.46","132.72.81.121","DNS","373","Standard query response 0x2bb5 A congress.ons.org CNAME live-congress-2020.pantheonsite.io CNAME fe2.edge.pantheon.io A 23.185.0.2 NS ns-233.awsdns-29.com NS ns-1213.awsdns-23.org NS ns-644.awsdns-16.net NS ns-2013.awsdns-59.co.uk A 205.251.192.233 A 205.251.194.132 A 205.251.196.189 A 205.251.199.221"
"33514","83.258792","132.72.140.45","132.72.81.121","DNS","373","Standard query response 0x2bb5 A congress.ons.org CNAME live-congress-2020.pantheonsite.io CNAME fe2.edge.pantheon.io A 23.185.0.2 NS ns-1213.awsdns-23.org NS ns-233.awsdns-29.com NS ns-2013.awsdns-59.co.uk NS ns-644.awsdns-16.net A 205.251.192.233 A 205.251.194.132 A 205.251.196.189 A 205.251.199.221"
"33606","83.682421","132.72.81.121","132.72.140.46","DNS","73","Standard query 0xace6 A blogs.msn.com"
"33610","83.775614","132.72.81.121","132.72.140.45","DNS","73","Standard query 0xace6 A blogs.msn.com"
"33631","83.914838","132.72.140.46","132.72.81.121","DNS","419","Standard query response 0xace6 A blogs.msn.com CNAME msnblogs.azurewebsites.net CNAME waws-prod-dm1-073.vip.azurewebsites.windows.net CNAME waws-prod-dm1-073.cloudapp.net A 52.173.245.249 NS ns1prod.18.azuredns-prd.org NS ns2prod.18.azuredns-prd.org NS ns2prod.18.azuredns-prd.info NS ns1prod.18.azuredns-prd.info A 40.90.4.201 A 13.107.24.201 A 64.4.48.201 A 13.107.160.201"
"33650","84.004452","132.72.140.45","132.72.81.121","DNS","419","Standard query response 0xace6 A blogs.msn.com CNAME msnblogs.azurewebsites.net CNAME waws-prod-dm1-073.vip.azurewebsites.windows.net CNAME waws-prod-dm1-073.cloudapp.net A 52.173.245.249 NS ns1prod.18.azuredns-prd.info NS ns2prod.18.azuredns-prd.org NS ns1prod.18.azuredns-prd.org NS ns2prod.18.azuredns-prd.info A 40.90.4.201 A 13.107.24.201 A 64.4.48.201 A 13.107.160.201"
"34436","85.196928","132.72.81.121","132.72.140.46","DNS","79","Standard query 0x4e07 A www.audioadvice.com"
"34466","85.290980","132.72.81.121","132.72.140.45","DNS","79","Standard query 0x4e07 A www.audioadvice.com"
"34467","85.322600","132.72.140.46","132.72.81.121","DNS","195","Standard query response 0x4e07 A www.audioadvice.com A 104.25.191.11 A 104.25.190.11 NS mary.ns.cloudflare.com NS ivan.ns.cloudflare.com A 173.245.59.120 A 173.245.58.134"
"34499","85.419209","132.72.140.45","132.72.81.121","DNS","251","Standard query response 0x4e07 A www.audioadvice.com A 104.25.191.11 A 104.25.190.11 NS ivan.ns.cloudflare.com NS mary.ns.cloudflare.com A 173.245.59.120 AAAA 2606:4700:58::adf5:3b78 A 173.245.58.134 AAAA 2606:4700:50::adf5:3a86"
"34561","85.599454","132.72.81.121","132.72.140.46","DNS","80","Standard query 0x4b28 A www.analogplanet.com"
"34570","85.661829","132.72.140.46","132.72.81.121","DNS","181","Standard query response 0x4b28 A www.analogplanet.com A 104.18.58.170 A 104.18.59.170 NS april.ns.cloudflare.com NS john.ns.cloudflare.com A 173.245.59.185"
"34594","85.767875","132.72.81.121","132.72.140.46","DNS","76","Standard query 0x8799 A www.archbalt.org"
"34623","85.832279","132.72.140.46","132.72.81.121","DNS","384","Standard query response 0x8799 A www.archbalt.org CNAME live-archdiocese-of-baltimore.pantheonsite.io CNAME fe2.edge.pantheon.io A 23.185.0.2 NS ns-2013.awsdns-59.co.uk NS ns-1213.awsdns-23.org NS ns-644.awsdns-16.net NS ns-233.awsdns-29.com A 205.251.192.233 A 205.251.194.132 A 205.251.196.189 A 205.251.199.221"
"36335","86.834419","132.72.81.121","132.72.140.46","DNS","77","Standard query 0x7bf1 A teknikensvarld.se"
"36341","86.892628","132.72.81.121","132.72.140.46","DNS","75","Standard query 0x2443 A www.edubuzz.org"
"36345","86.921681","132.72.140.46","132.72.81.121","DNS","320","Standard query response 0x7bf1 A teknikensvarld.se A 104.73.53.31 NS a7-67.akam.net NS a20-64.akam.net NS a9-64.akam.net NS a1-251.akam.net NS a4-66.akam.net NS a26-65.akam.net A 72.246.46.66 A 23.61.199.67 A 184.85.248.64 A 193.108.91.251 A 95.100.175.64 A 23.74.25.65"
"36355","86.951881","132.72.81.121","132.72.140.46","DNS","78","Standard query 0x5d7c A smallbiztrends.com"
"36361","86.986749","132.72.81.121","132.72.140.45","DNS","75","Standard query 0x2443 A www.edubuzz.org"
"36371","87.037709","132.72.140.46","132.72.81.121","DNS","194","Standard query response 0x5d7c A smallbiztrends.com A 52.208.197.252 NS goat.ezoicns.com NS deer.ezoicns.com NS moth.ezoicns.com NS swan.ezoicns.com A 205.251.192.182"
"36373","87.040197","132.72.140.46","132.72.81.121","DNS","400","Standard query response 0x2443 A www.edubuzz.org CNAME edubuzz.prod.dxw.net CNAME edubuzz-elb-1333787447.eu-west-1.elb.amazonaws.com A 52.212.191.227 A 18.200.207.132 NS ns-341.awsdns-42.com NS ns-2023.awsdns-60.co.uk NS ns-739.awsdns-28.net NS ns-1053.awsdns-03.org A 205.251.193.85 A 205.251.194.227 A 205.251.196.29 A 205.251.199.231"
"36394","87.145678","132.72.140.45","132.72.81.121","DNS","400","Standard query response 0x2443 A www.edubuzz.org CNAME edubuzz.prod.dxw.net CNAME edubuzz-elb-1333787447.eu-west-1.elb.amazonaws.com A 52.212.191.227 A 18.200.207.132 NS ns-341.awsdns-42.com NS ns-1053.awsdns-03.org NS ns-739.awsdns-28.net NS ns-2023.awsdns-60.co.uk A 205.251.193.85 A 205.251.194.227 A 205.251.196.29 A 205.251.199.231"
"39117","92.342657","132.72.81.121","132.72.140.46","DNS","73","Standard query 0xcb01 A moovitapp.com"
"39131","92.419015","132.72.140.46","132.72.81.121","DNS","338","Standard query response 0xcb01 A moovitapp.com A 99.86.116.75 A 99.86.116.109 A 99.86.116.111 A 99.86.116.99 NS ns-2014.awsdns-59.co.uk NS ns-261.awsdns-32.com NS ns-1210.awsdns-23.org NS ns-539.awsdns-03.net A 205.251.193.5 A 205.251.194.27 A 205.251.196.186 A 205.251.199.222"
"39339","93.031248","132.72.81.121","132.72.140.46","DNS","71","Standard query 0xc6a8 A www.eno.org"
"39342","93.106961","132.72.140.46","132.72.81.121","DNS","391","Standard query response 0xc6a8 A www.eno.org CNAME www.eno.org.herokudns.com A 108.128.200.220 A 34.253.121.58 A 52.213.230.141 A 52.212.40.108 A 52.30.46.210 A 34.241.63.37 A 34.242.112.190 A 54.194.49.179 NS dns2.p05.nsone.net NS dns1.p05.nsone.net NS dns4.p05.nsone.net NS dns3.p05.nsone.net A 198.51.44.5 A 198.51.45.5 A 198.51.44.69 A 198.51.45.69"
"39344","93.143806","132.72.81.121","132.72.140.46","DNS","77","Standard query 0x65e2 A tripmaxtravel.com"
"39363","93.238698","132.72.81.121","132.72.140.45","DNS","77","Standard query 0x65e2 A tripmaxtravel.com"
